What is your current age?,What is your gender identity?,Which year of study are you currently in?,"Do you live on-campus (e.g., dormitory/hostel)?","On a typical weekday, how many hours do you spend on academic study (classes, homework, studying)?",I feel overwhelmed by my academic workload.,"How often do you participate in extracurricular activities (clubs, sports, volunteering)?",I am generally satisfied with my current academic performance.,Do you hold a part-time job while attending college?,How stressed have you felt over the past month?,I feel like I have a good handle on managing my stress.,How satisfied are you with your life right now?,How often do you feel anxious or worried about the future?,I feel comfortable seeking professional help (counseling/therapy) if I needed it.,Approximately how many close friends (people you confide in) do you have in college?,I feel a strong sense of belonging within the college community.,How often do you participate in social activities (not study-related) in a week?,I feel lonely often.,I have supportive family members I can rely on.,"On average, how many hours do you sleep per night?","I follow a healthy, balanced diet most of the time.","How often do you engage in vigorous physical exercise (e.g., running, gym, sports) per week?",How would you rate your general physical health?,Do you regularly consume energy drinks or excessive caffeine (4+ cups of coffee/day)?,I am worried about my current financial situation.,I feel prepared for my career or life after graduation.,Do you feel the college is adequately preparing you for your future career?,How confident are you about achieving your long-term goals?,I frequently worry about making large student loan payments or debt after college.,Do you regularly track your personal spending/budget?,Who do you feel closest to?,Are you a single child?,Are you currently in a relationship?,Do you feel you have achieved your dreams?,Are you currently employed?,How would you describe your personality?,Do you love yourself?,Do you care about what others think of you?,I often compare my life to others on social media.,"I feel comfortable saying ""no"" to people when I need to.",Do you have a clear set of goals for the next 5 years?,I generally have a positive outlook on life.,Are you in Relationship?,
16-19,Male,Third Year,Yes,< 4 hours,TRUE,Once a week,Agree,Yes,Low,TRUE,Satisfied,Sometimes,TRUE,02-Mar,Agree,1-2 times,TRUE,Yes,< 5 hours,TRUE,3-4 days,Fair,Yes,Slightly worried,Disagree,Yes,Moderate,FALSE,Yes,Father,No,No,No,Yes,Introvert,Yes,Yes,FALSE,TRUE,Yes,FALSE,,
20-22,Male,Third Year,Yes,< 4 hours,TRUE,Rarely/Never,Disagree,No,Moderate,FALSE,Dissatisfied,Always/Most of the time,FALSE,0-1,Disagree,0 times,TRUE,Yes,5-6 hours,FALSE,1-2 days,Good,No,Slightly worried,Agree,No,Low,TRUE,No,Parents,No,No,,,Ambivert (Neutral),,Yes,TRUE,TRUE,No,TRUE,,
20-22,Male,Third Year,Yes,10+ hours,FALSE,Rarely/Never,Agree,No,Very Low,TRUE,Satisfied,Sometimes,TRUE,7+,Disagree,0 times,FALSE,Yes,5-6 hours,TRUE,0 days,Good,No,Not at all worried,Disagree,Yes,Moderate,FALSE,Yes,Friend,No,Yes,,,Ambivert (Neutral),,No,FALSE,TRUE,Yes,TRUE,,
20-22,Female,Third Year,Yes,< 4 hours,TRUE,Once a month,Disagree,No,High,TRUE,Dissatisfied,Always/Most of the time,FALSE,02-Mar,Agree,1-2 times,TRUE,Yes,7-8 hours,TRUE,3-4 days,Good,No,Very worried,Agree,No,Moderate,TRUE,Yes,Friend,No,,,,Ambivert (Neutral),,No,FALSE,TRUE,Yes,TRUE,,
20-22,Male,Second Year,Yes,4-6 hours,FALSE,Once a month,Agree,No,Moderate,FALSE,Satisfied,Always/Most of the time,TRUE,04-Jun,Agree,0 times,FALSE,Yes,5-6 hours,TRUE,1-2 days,Good,No,Moderately worried,Agree,Yes,High,TRUE,Yes,Parents,No,,,,Extrovert,,Yes,FALSE,TRUE,Yes,TRUE,,
20-22,Male,Third Year,Yes,10+ hours,FALSE,Once a week,Strongly Agree,No,Very Low,TRUE,Very Dissatisfied,Sometimes,TRUE,02-Mar,Disagree,0 times,FALSE,Yes,7-8 hours,FALSE,0 days,Fair,No,Not at all worried,Agree,No,High,FALSE,No,Friend,No,,,,Ambivert (Neutral),,No,FALSE,TRUE,Yes,TRUE,,
20-22,Female,Third Year,Yes,< 4 hours,TRUE,Rarely/Never,Strongly Disagree,No,Moderate,FALSE,Very Dissatisfied,Always/Most of the time,FALSE,0-1,Strongly Disagree,0 times,FALSE,Yes,5-6 hours,FALSE,0 days,Poor,No,Very worried,Strongly Disagree,No,Moderate,FALSE,No,Parents,No,,,,Introvert,,No,FALSE,TRUE,Yes,FALSE,,
16-19,Male,Second Year,Yes,< 4 hours,TRUE,Rarely/Never,Agree,No,High,TRUE,Dissatisfied,Sometimes,FALSE,04-Jun,Disagree,0 times,FALSE,Yes,7-8 hours,TRUE,0 days,Fair,No,Slightly worried,Disagree,No,Low,FALSE,Yes,Parents,No,,,,Introvert,,Yes,FALSE,TRUE,No,TRUE,,
20-22,Female,Third Year,Yes,4-6 hours,TRUE,Rarely/Never,Agree,No,Moderate,TRUE,Satisfied,Often,TRUE,0-1,Strongly Disagree,0 times,FALSE,Yes,5-6 hours,TRUE,0 days,Fair,No,Moderately worried,Disagree,No,Moderate,TRUE,Yes,Parents,Yes,,,,Ambivert (Neutral),,No,FALSE,TRUE,Yes,TRUE,,
20-22,Male,Third Year,No,10+ hours,TRUE,Rarely/Never,Disagree,No,Moderate,FALSE,Dissatisfied,Always/Most of the time,FALSE,0-1,Disagree,0 times,FALSE,Yes,< 5 hours,TRUE,3-4 days,Good,No,Moderately worried,Disagree,No,High,FALSE,Yes,Parents,No,,,,Introvert,,Yes,FALSE,TRUE,Yes,TRUE,,
